Flask_ID,Avg_Cell_Count,Avg_Cell_Per_mL,Growth_Rate,Control,Cool,Heat
Control_1,28,280000,0.105263158,1,0,0
Control_1.1,28,280000,0.166666667,1,0,0
Control_2,30.33333333,303333.3333,0.166666667,1,0,0
Control_2.1,29.33333333,293333.3333,0.257142857,1,0,0
Control_3,33,330000,0.207317073,1,0,0
Control_3.1,29,290000,0.0875,1,0,0
Control_4,29.33333333,293333.3333,0.257142857,1,0,0
Control_4.1,26.66666667,266666.6667,0.230769231,1,0,0
Heat_1,47.33333333,473333.3333,0.03649635,0,0,1
Heat_1.1,43.66666667,436666.6667,0.082644628,0,0,1
Heat_2,46.66666667,466666.6667,0.157024793,0,0,1
Heat_2.1,42.33333333,423333.3333,0.20952381,0,0,1
Heat_3,45.66666667,456666.6667,0.10483871,0,0,1
Heat_3.1,47.33333333,473333.3333,0.234782609,0,0,1
Heat_4,46.66666667,466666.6667,0.129032258,0,0,1
Heat_4.1,44.33333333,443333.3333,0.1875,0,0,1
Cool_1,8.5,85000,0.040816327,0,1,0
Cool_2,9,90000,0,0,1,0
Cool_3,9.833333333,98333.33333,0.340909091,0,1,0
Cool_4,8.666666667,86666.66667,-0.054545455,0,1,0
